date,open,high,low,close,volume
2025-06-03,71.76,73.8799,71.4,73.28,64364182
2025-06-04,73.58,74.32,72.71,73.87,64444452
2025-06-05,74.45,75.65,71.3,72.15,99512462
2025-06-06,74.27,75.01,73.54,74.21,65607693
2025-06-09,74.31,75.24,73.84,74.54,50181894
2025-06-10,74.71,76.285,73.76,75.98,61346475
2025-06-11,76.59,77.075,74.22,75.2,90825988
2025-06-12,74.6,76.1293,74.52,75.69,63055008
2025-06-13,73.1,74.885,72.27,72.83,105333080
2025-06-16,74.22,76.2499,74.22,75.8,58334341
2025-06-17,74.68,75.38,73.08,73.56,67709094
2025-06-18,73.92,74.96,72.84,73.46,71330708
2025-06-20,74.76,75.3298,71.715,72.45,81677450
2025-06-23,72.73,74.93,71.42,74.7,83786355
2025-06-24,76.91,78.51,76.655,78.1,56595750
2025-06-25,78.88,79.42,77.72,78.48,50719073
2025-06-26,79.42,80.85,78.6207,80.63,50072093
2025-06-27,81.0303,82.25,79.8529,81.42,73011781
2025-06-30,82.8,83.49,81.83,83.0,56860730
2025-07-01,82.12,82.54,79.81,80.89,70194973
2025-07-02,80.46,82.59,80.43,82.5,50142531
2025-07-03,83.49,85.29,83.49,84.81,41742302
2025-07-07,83.6,83.97,81.8,82.92,69837376
2025-07-08,83.48,83.775,82.47,83.03,57757712
2025-07-09,83.97,85.385,83.35,84.75,58988125
2025-07-10,85.03,85.22,83.14,84.36,55158885
2025-07-11,83.315,84.45,82.75,83.72,53468792
2025-07-14,83.63,84.9352,82.55,84.61,48655739
2025-07-15,86.43,86.67,84.8,84.83,61628768
2025-07-16,85.06,85.35,82.44,85.07,83178817
2025-07-17,85.37,87.32,85.0,87.05,48665426
2025-07-18,87.64,87.74,86.19,86.75,49248128
2025-07-21,87.15,88.98,87.12,88.07,43860151
2025-07-22,88.13,88.16,85.465,86.7,54172638
2025-07-23,87.18,87.88,85.9,87.84,59012615
2025-07-24,88.45,88.96,87.6,88.42,45189135
2025-07-25,88.31,89.58,87.98,88.92,39501591
2025-07-28,89.59,90.19,89.18,89.785,47795992
2025-07-29,90.99,91.625,88.98,89.38,58125579
2025-07-30,89.74,90.88,88.26,89.69,72763814
2025-07-31,92.71,92.75,87.66,88.21,89437328
2025-08-01,85.25,85.32,81.86,82.92,109890608
2025-08-04,85.22,87.5699,85.16,87.46,54292974
2025-08-05,88.05,88.61,85.42,85.64,76044162
2025-08-06,86.03,89.0655,85.81,88.84,64497633
2025-08-07,90.89,91.67,87.815,89.74,84619574
2025-08-08,90.24,92.28,90.1012,92.16,52261337
2025-08-11,92.23,93.24,90.715,91.35,47308495
2025-08-12,92.42,94.8899,91.13,94.72,60138981
2025-08-13,96.05,96.32,94.175,94.86,48029255
2025-08-14,93.84,95.5878,93.64,94.6,53192875
2025-08-15,94.47,94.51,92.4194,93.26,48083699
2025-08-18,92.8,93.455,92.23,93.14,36685677
2025-08-19,92.77,92.86,88.8238,89.34,55559321
2025-08-20,88.83,88.89,84.38,87.71,82202129
2025-08-21,86.95,87.95,85.39,86.49,59959971
2025-08-22,87.02,91.32,86.37,90.38,66363241
2025-08-25,89.62,90.98,89.03,89.59,40226284
2025-08-26,89.31,90.77,88.835,90.63,42187299
2025-08-27,90.14,91.44,89.54,91.04,45027590
2025-08-28,91.28,93.11,90.51,92.7,45328999
2025-08-29,91.415,91.59,88.49,89.36,60943503
2025-09-02,85.11,87.24,84.25,87.08,83334035
2025-09-03,88.73,89.875,87.5899,89.11,59964901
2025-09-04,89.4,91.6646,88.615,91.52,50879842
2025-09-05,93.94,94.24,89.6872,91.82,86312867
2025-09-08,92.91,94.0951,92.64,93.13,50848372
2025-09-09,93.5,94.11,92.2435,93.89,47310374
2025-09-10,95.45,95.46,92.94,93.99,60409405
2025-09-11,95.19,95.98,94.41,95.57,45623565
2025-09-12,95.96,97.3699,95.525,96.76,46117618
2025-09-15,97.64,99.27,97.565,99.23,39057176
2025-09-16,99.67,99.81,98.61,98.96,38568574
2025-09-17,98.89,99.2,95.511,98.33,73848571
2025-09-18,100.76,102.37,99.79,100.98,61700782
2025-09-19,101.88,103.29,101.15,102.98,42182694
2025-09-22,102.42,105.0757,102.42,104.72,40527290
2025-09-23,104.79,104.9,101.98,102.61,49965276
2025-09-24,103.21,103.36,99.99,101.41,50527807
2025-09-25,99.4,100.87,97.4998,100.05,61410295
2025-09-26,100.4,101.38,98.74,101.25,62048678
2025-09-29,102.785,104.28,101.94,102.6,46196553
2025-09-30,102.41,103.57,101.22,103.4,46161927
2025-10-01,101.73,105.14,101.3,104.86,46998217
2025-10-02,106.81,106.835,104.66,106.14,44579349
2025-10-03,106.44,106.87,103.76,104.7,51153986
2025-10-06,107.4,107.8824,106.13,107.04,41238363
2025-10-07,107.7,108.06,104.52,105.31,50092909
2025-10-08,105.72,109.0499,105.66,108.88,43465528
2025-10-09,108.876,108.96,106.755,108.45,43978050
2025-10-10,108.73,109.66,96.8302,97.07,119004702
2025-10-13,102.06,103.68,100.8501,103.23,57255565
2025-10-14,99.73,103.53,97.07,101.13,73615024
2025-10-15,104.14,105.51,100.04,103.2,63534689
2025-10-16,104.68,106.33,99.75,102.05,79671984
2025-10-17,100.92,104.77,100.12,103.99,71137009
2025-10-20,105.61,108.52,105.55,107.89,39964416
2025-10-21,107.895,108.48,106.67,107.77,39905727
2025-10-22,107.45,107.74,101.58,104.6,67190370
